a b c d a
j g l g l
g l g l g
l g l g f
g l g f h
l g f h f
g f h f g
f h f g l
h f g l g
f g l g l
g l g l j
l g l j g
g l j g l
l j g l g
j g l g l
g l g l g
l g l g f
g l g f g
l g f g l
g f g l h
f g l h g
g l h g l
l h g l j
h g l j g
g l j g l
l j g l g
j g l g l
g l g l g
l g l g f
g l g f g
l g f g l
g f g l g
f g l g l
g l g l j
l g l j f
g l j f h
l j f h f
j f h f j
f h f j g
h f j g l
f j g l g
j g l g l
g l g l g
l g l g f
g l g f g
l g f g l
g f g l g
f g l g l
g l g l h
l g l h l
g l h l j
l h l j g
h l j g l
l j g l g
j g l g l
g l g l g
l g l g l
g l g l g
l g l g l
g l g l g
l g l g l
g l g l j
l g l j g
g l j g l
l j g l g
j g l g l
g l g l g
l g l g h
g l g h f
l g h f g
g h f g l
h f g l g
f g l g l
g l g l j
l g l j g
g l j g l
l j g l g
j g l g l
g l g l g
l g l g l
g l g l h
l g l h g
g l h g l
l h g l g
h g l g l
g l g l j
l g l j g
g l j g l
l j g l g
j g l g l
g l g l g
l g l g f
g l g f g
l g f g l
g f g l g
f g l g h
g l g h l
l g h l j
g h l j g
h l j g l
l j g l g
j g l g l
g l g l g
l g l g f
g l g f g
l g f g h
g f g h l
f g h l g
g h l g l
h l g l j
l g l j g
g l j g l
l j g l g
j g l g l
g l g l g
l g l g f
g l g f g
l g f g l
g f g l h
f g l h l
g l h l g
l h l g l
h l g l j
l g l j g
g l j g l
l j g l g
j g l g l
g l g l g
l g l g f
g l g f g
l g f g l
g f g l h
f g l h g
g l h g l
l h g l j
h g l j g
g l j g l
l j g l g
j g l g l
g l g l g
l g l g f
g l g f g
l g f g l
g f g l g
f g l g l
g l g l j
l g l j g
g l j g h
l j g h l
j g h l g
g h l g l
h l g l g
l g l g f
g l g f g
l g f g l
g f g l g
f g l g l
g l g l j
l g l j f
g l j f h
l j f h f
j f h f j
f h f j g
h f j g l
f j g l g
j g l g l
g l g l g
l g l g f
g l g f g
l g f g l
g f g l g
f g l g l
g l g l j
l g l j g
g l j g h
l j g h l
j g h l g
g h l g l
h l g l g
l g l g l
g l g l g
l g l g l
g l g l g
l g l g l
g l g l j
l g l j g
g l j g l
l j g l g
j g l g l
g l g l g
l g l g f
g l g f g
l g f g l
g f g l h
f g l h g
g l h g l
l h g l j
h g l j g
g l j g l
l j g l g
j g l g l
g l g l g
l g l g f
g l g f g
l g f g l
g f g l g
f g l g l
g l g l j
l g l j g
g l j g l
l j g l g
j g l g h
g l g h l
l g h l g
g h l g f
h l g f g
l g f g l
g f g l g
f g l g l
g l g l j
l g l j f
g l j f j
l j f j g
j f j g l
f j g l g
j g l g l
g l g l h
l g l h g
g l h g f
l h g f g
h g f g l
g f g l g
f g l g l
g l g l j
l g l j g
g l j g l
l j g l g
j g l g l
g l g l g
l g l g f
g l g f g
l g f g l
g f g l h
f g l h g
g l h g l
l h g l j
h g l j g
g l j g l
l j g l g
j g l g l
g l g l g
l g l g f
g l g f g
l g f g l
g f g l g
f g l g l
g l g l j
l g l j f
g l j f j
l j f j g
j f j g h
f j g h l
j g h l g
g h l g l
h l g l g
l g l g f
g l g f g
l g f g l
g f g l g
f g l g l
g l g l j
l g l j f
g l j f j
l j f j g
j f j g h
f j g h l
j g h l g
g h l g l
h l g l g
l g l g f
g l g f g
l g f g l
g f g l g
f g l g l
g l g l j
l g l j g
g l j g l
l j g l g
j g l g l
g l g l g
l g l g f
g l g f h
l g f h g
g f h g l
f h g l g
h g l g l
g l g l j
l g l j f
g l j f j
l j f j g
j f j g l
f j g l g
j g l g l
g l g l g
l g l g f
g l g f g
l g f g l
g f g l g
f g l g l
g l g l h
l g l h j
g l h j g
l h j g l
h j g l g
j g l g l
g l g l g
l g l g l
g l g l g
l g l g l
g l g l g
l g l g l
g l g l j
l g l j g
g l j g l
l j g l g
j g l g l
g l g l g
l g l g f
g l g f h
l g f h f
g f h f g
f h f g l
h f g l g
f g l g l
g l g l j
l g l j f
g l j f j
l j f j g
j f j g l
f j g l g
j g l g l
g l g l g
l g l g f
g l g f h
l g f h f
g f h f g
f h f g l
h f g l g
f g l g l
g l g l j
l g l j g
g l j g l
l j g l g
j g l g l
g l g l g
l g l g f
g l g f h
l g f h f
g f h f g
f h f g l
h f g l g
f g l g l
g l g l j
l g l j f
g l j f j
l j f j g
j f j g l
f j g l g
j g l g l
g l g l g
l g l g f
g l g f g
l g f g l
g f g l g
f g l g h
g l g h l
l g h l j
g h l j g
h l j g l
l j g l g
j g l g l
g l g l g
l g l g l
g l g l g
l g l g l
g l g l g
l g l g l
g l g l j
l g l j k
g l j k f
l j k f h
j k f h f
k f h f j
f h f j f
h f j f h
f j f h f
j f h f j
f h f j g
h f j g l
f j g l h
j g l h l
g l h l g
l h l g l
h l g l g
l g l g f
g l g f g
l g f g l
g f g l g
f g l g l
g l g l h
l g l h l
g l h l j
l h l j g
h l j g l
l j g l g
j g l g l
g l g l g
l g l g f
g l g f g
l g f g l
g f g l g
f g l g l
g l g l j
l g l j g
g l j g l
l j g l h
j g l h l
g l h l g
l h l g l
h l g l g
l g l g f
g l g f h
l g f h f
g f h f g
f h f g l
h f g l g
f g l g l
g l g l j
l g l j g
g l j g l
l j g l g
j g l g l
g l g l g
l g l g h
g l g h f
l g h f g
g h f g l
h f g l g
f g l g h
g l g h l
l g h l j
g h l j g
h l j g l
l j g l g
j g l g l
g l g l g
l g l g f
g l g f g
l g f g l
g f g l g
f g l g l
g l g l h
l g l h j
g l h j g
l h j g l
h j g l g
j g l g l
g l g l g
l g l g f
g l g f g
l g f g l
g f g l g
f g l g l
g l g l j
l g l j g
g l j g l
l j g l m
j g l m l
g l m l g
l m l g l
m l g l h
l g l h g
g l h g f
l h g f g
h g f g l
g f g l g
f g l g l
g l g l j
l g l j g
g l j g l
l j g l g
j g l g l
g l g l g
l g l g f
g l g f h
l g f h f
g f h f g
f h f g l
h f g l g
f g l g l
g l g l h
l g l h l
g l h l j
l h l j g
h l j g l
l j g l g
j g l g l
g l g l g
l g l g f
g l g f g
l g f g l
g f g l g
f g l g l
g l g l h
l g l h l
g l h l j
l h l j g
h l j g l
l j g l m
j g l m l
g l m l g
l m l g l
m l g l g
l g l g f
g l g f g
l g f g l
g f g l h
f g l h g
g l h g l
l h g l j
h g l j g
g l j g l
l j g l m
j g l m l
g l m l g
l m l g l
m l g l g
l g l g f
g l g f h
l g f h f
g f h f g
f h f g l
h f g l g
f g l g l
g l g l j
l g l j g
g l j g l
l j g l g
j g l g l
g l g l g
l g l g f
g l g f h
l g f h f
g f h f g
f h f g l
h f g l g
f g l g l
g l g l j
l g l j g
g l j g l
l j g l m
j g l m l
g l m l g
l m l g l
m l g l g
l g l g f
g l g f h
l g f h f
g f h f g
f h f g l
h f g l g
f g l g l
g l g l j
l g l j g
g l j g l
l j g l m
j g l m l
g l m l g
l m l g l
m l g l g
l g l g h
g l g h f
l g h f g
g h f g l
h f g l g
f g l g l
g l g l j
l g l j g
g l j g l
l j g l g
j g l g l
g l g l g
l g l g f
g l g f h
l g f h f
g f h f g
f h f g l
h f g l g
f g l g l
g l g l h
l g l h l
g l h l j
l h l j g
h l j g l
l j g l g
j g l g l
g l g l g
l g l g f
g l g f g
l g f g h
g f g h l
f g h l g
g h l g l
h l g l j
l g l j g
g l j g l
l j g l g
j g l g l
g l g l g
l g l g f
g l g f g
l g f g l
g f g l h
f g l h g
g l h g l
l h g l j
h g l j g
g l j g l
l j g l g
j g l g l
g l g l g
l g l g f
g l g f h
l g f h f
g f h f g
f h f g l
h f g l g
f g l g l
g l g l j
l g l j g
g l j g l
l j g l g
j g l g l
g l g l g
l g l g f
g l g f h
l g f h f
g f h f g
f h f g l
h f g l g
f g l g l
g l g l h
l g l h j
g l h j g
l h j g l
h j g l g
j g l g l
g l g l g
l g l g f
g l g f g
l g f g l
g f g l h
f g l h g
g l h g l
l h g l j
h g l j g
g l j g l
l j g l g
j g l g l
g l g l g
l g l g f
g l g f h
l g f h f
g f h f g
f h f g l
h f g l g
f g l g l
g l g l j
l g l j g
g l j g l
l j g l g
j g l g l
g l g l g
l g l g f
g l g f h
l g f h f
g f h f g
f h f g l
h f g l g
f g l g l
g l g l h
l g l h j
g l h j f
l h j f j
h j f j g
j f j g l
f j g l g
j g l g l
g l g l g
l g l g f
g l g f g
l g f g l
g f g l g
f g l g l
g l g l j
l g l j g
g l j g l
l j g l h
j g l h g
g l h g l
l h g l g
h g l g f
g l g f g
l g f g l
g f g l g
f g l g l
g l g l j
l g l j g
g l j g l
l j g l g
j g l g l
g l g l g
l g l g h
g l g h f
l g h f g
g h f g l
h f g l g
f g l g l
g l g l j
l g l j g
g l j g l
l j g l g
j g l g l
g l g l g
l g l g f
g l g f h
l g f h f
g f h f g
f h f g l
h f g l g
f g l g l
g l g l j
l g l j g
g l j g l
l j g l g
j g l g l
g l g l g
l g l g f
g l g f g
l g f g l
g f g l h
f g l h g
g l h g l
l h g l j
h g l j f
g l j f j
l j f j g
j f j g l
f j g l m
j g l m l
g l m l h
l m l h g
m l h g l
l h g l g
h g l g f
g l g f g
l g f g l
g f g l g
f g l g l
g l g l h
l g l h l
g l h l j
l h l j g
h l j g l
l j g l m
j g l m l
g l m l g
l m l g l
m l g l g
l g l g f
g l g f h
l g f h f
g f h f g
f h f g l
h f g l g
f g l g l
g l g l j
l g l j g
g l j g l
l j g l m
j g l m l
g l m l g
l m l g l
m l g l g
l g l g f
g l g f h
l g f h g
g f h g l
f h g l g
h g l g l
g l g l j
l g l j g
g l j g l
l j g l m
j g l m l
g l m l g
l m l g l
m l g l g
l g l g f
g l g f g
l g f g l
g f g l g
f g l g l
g l g l h
l g l h j
g l h j g
l h j g l
h j g l m
j g l m l
g l m l g
l m l g l
m l g l g
l g l g f
g l g f g
l g f g l
g f g l g
f g l g l
g l g l j
l g l j g
g l j g l
l j g l h
j g l h m
g l h m l
l h m l g
h m l g l
m l g l g
l g l g f
g l g f g
l g f g l
g f g l g
f g l g l
g l g l j
l g l j f
g l j f h
l j f h f
j f h f h
f h f h f
h f h f j
f h f j g
h f j g l
